smiles,Tg
CCCOC(=O)NC1=CC=CC=C1,203
CCCOC(=O)Nc1ccccc1,203
CC(CCC(C)O)O,203.5
CC(O)CCC(C)O,203.5
CC(C(=O)O)O,204
OCCCCC(O)CO,204
CC(O)C(=O)O,204
COC1=CC=CC=C1O,205
CC(O)CC(C)O,205
COc1ccccc1O,205
CC(CCO)(CCO)O,205.7
CC(O)(CCO)CCO,205.7
CC(CC(C)O)O,205.9
CC(CC(C)O)O,205.9
C(CCO)CC(CO)O,206.4
CC(O)C(=O)O,207
CCCC(C(CC)CO)O,208.9
CCCC(O)C(CC)CO,208.9
O=C(Oc2ccccc2)c1c(O)cccc1,213
CC(C(=O)O)O,213
CCOC(=O)NC1=CC=CC=C1,213
CCOC(=O)Nc1ccccc1,213
O=C(Oc2ccccc2)c1c(O)cccc1,217
O=C(Oc1ccccc1)c1ccccc1O,217
COC(=O)NC1=CC=CC=C1,218
COC(=O)Nc1ccccc1,218
O=C(Oc2ccccc2)c1c(O)cccc1,220
O=S(=O)([O-])O.[NH4+],220
CC1=CC=CC=C1O,220.1
CC=CC1=CC(=C(C=C1)O)OC,220.1
Oc1ccccc1Cc1ccccc1,220.1
O=C(Oc2ccccc2)c1c(O)cccc1,221.6
O=C(Oc1ccccc1)c1ccccc1O,221.6
C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Br,224.8
Brc1cc2ccccc2c2ccccc12,224.8
CCCCCCCCCCCCCCCC1CCCC(=O)C1,225
CCCCCCCCCCCCCCCC1CCCC(=O)C1,225
O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],226
C(C(C(CO)O)O)O,226.3
OCC(O)C(O)CO,226.3
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,228
CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,228
C(C(C(CO)O)O)O,228.3
OCC(O)C(O)CO,230
O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],230
C(C(C(CO)O)O)O,231
O(C[C@]([C@@H](CO[H])O[H])(C)O[H])[H],232
C1=CC=C(C=C1)COC(=O)NC2=CC=CC=C2,233
O=C(Nc1ccccc1)OCc1ccccc1,233
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,234
CC(CO)(C(CO)O)O,238
CC(O)(CO)C(O)CO,241.5
CC(=O)OC1=CC=CC=C1C(=O)O,243
CCCCCOC(=O)Nc1ccc(N(=O)=O)cc1,243
CC(=O)Oc1ccccc1C(=O)O,243
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,244
C1=CC=C2C(=C1)C=CC=C2OC(=O)C3=CC=CC=C3O,244
C(C(C(C(CO)O)O)O)O,244
C(C(C(C(CO)O)O)O)O,244
c1ccc(-c2ccccc2-c2ccccc2)cc1,244
O=C(Oc1cccc2ccccc12)c1ccccc1O,244
OCC(O)C(O)C(O)CO,244
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,245
CC(CO)(C(CO)O)O,245
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,245.9
C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,246
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,246
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,246
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,246
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,246
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,246
CC1=CC=CC=C1OCC(CO)O,247
CC1=CC=CC=C1OCC(CO)O,247
Cc1ccccc1OCC(O)CO,247
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,247.7
c1ccc(-c2ccccc2-c2ccccc2)cc1,247.7
C(C(C(C(CO)O)O)O)O,247.8
C1C2C(C(C(C(O1)O2)O)O)O,247.8
OC1C2COC(O2)C(O)C1O,248
C(C(C(C(CO)O)O)O)O,248.9
C1C2C(C(C(C(O1)O2)O)O)O,249
OCC(O)C(O)C(O)CO,249
c1cc(cc(c1)O)O,250
C(C(C(C(CO)O)O)O)O,250
Oc1cccc(O)c1,250
C(C(C(=O)O)O)C(=O)O,252
C(C(C(C(CO)O)O)O)O,252
OCC(O)C(O)C(O)CO,252
C1C(C(C(C(O1)O)O)O)O,253
C(C(C(C(CO)O)O)O)O,254
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,254
C1CCOC(C1)OC2=CC=CC=C2O,255
O=C(O)CC(O)C(=O)O,255
OCC1CCCCO1,255
CC1=CC(=O)N(N1C)C2=CC=CC=C2,256
Cc1cc(=O)n(-c2ccccc2)n1C,256
C(C(C(=O)O)O)C(=O)O,258
C(C(C(C(CO)O)O)O)O,261
O=C(Nc1ccc(N(=O)=O)cc1)OCC(F)(F)C(F)F,261
OCC(O)C(O)C(O)CO,261
C1C(C(C(C(O1)O)O)O)O,262
C1C(C(C(C(O1)O)O)O)O,263
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,263
OCC1OC(O)C(O)C1O,263
CC(=O)C1CC(C1(C)C)CC(=O)O,265
CC(=O)[C@@H]1C[C@@H](C1(C)C)CC(=O)O,265
CC1C(C(C(C(O1)O)O)O)O,266
CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,267
OCC(O)C(O)C(O)C(O)CO,267
C(C(C(C(C(CO)O)O)O)O)O,268
OCC(O)C(O)C(O)C(O)CO,268
CC1([C@H](CC1C(=O)O)CC(=O)O)C,268
CC1(C(CC1C(=O)O)CC(=O)O)C,268.1
CC1(C)C(CC(=O)O)CC1C(=O)O,268.1
C(C(CC(=O)O)C(=O)O)C(=O)O,268.9
O=C(O)CC(CC(=O)O)C(=O)O,268.9
CC(CO)C(=O)OC,269
C1CC2=CC=CC=C2C1C3=CC=C(C=C3)O,269
CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,269
COC(=O)[C@@H](C)O,269
Oc1ccc(C2CCc3ccccc32)cc1,269
C(CC(=O)O)C(CC(=O)O)C(=O)O,269.6
O=C(O)CCC(CC(=O)O)C(=O)O,269.6
C(C(C(C(C(CO)O)O)O)O)O,270
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C,270
